week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
1,"Saturday, August 31, 2019",Syracuse,24,22.0,away,#DC4405,#b03604,Liberty,0,,home,#A6192E,#841424,Syracuse,Liberty,Atlantic Coast,Independents(FBS)
1,"Saturday, August 31, 2019",Marshall,56,,home,#00B140,#008d33,VMI,17,,away,#E4002B,#b60022,Marshall,VMI,Conference USA,
1,"Saturday, August 31, 2019",California,27,,home,#041E42,#031834,UC Davis,13,,away,#002855,#002044,California,UC Davis,Pac-12,
1,"Saturday, August 31, 2019",Northern Ill.,24,,home,#BA0C2F,#940925,Illinois St.,10,,away,#C8102E,#a00c24,Northern Illinois,Illinois State,Mid-American,
1,"Saturday, August 31, 2019",Old Dominion,24,,home,#003057,#002645,Norfolk St.,21,,away,#007A53,#006142,Old Dominion,Norfolk State,,
1,"Saturday, August 31, 2019",Western Mich.,48,,home,#693F23,#54321c,Monmouth,13,,away,#041E42,#031834,Western Michigan,Monmouth,Mid-American,
1,"Saturday, August 31, 2019",Kansas St.,49,,home,#582C83,#462368,Nicholls St.,14,,away,#A6192E,#841424,Kansas State,Nicholls State,Big 12,
1,"Saturday, August 31, 2019",Southern Miss.,38,,home,#010101,#000,Alcorn,10,,away,#512D6D,#402457,Southern Miss,Alcorn,Conference USA,
1,"Saturday, August 31, 2019",SMU,37,,away,#C8102E,#a00c24,Arkansas St.,30,,home,#C8102E,#a00c24,SMU,Arkansas State,American Athletic Conference,Sun Belt
1,"Saturday, August 31, 2019",Baylor,56,,home,#1D3C34,#173029,SFA,17,,away,#5F259F,#4c1d7f,Baylor,SFA,Big 12,
1,"Saturday, August 31, 2019",Virginia,30,,away,#232D4B,#1c243c,Pittsburgh,14,,home,#003594,#002a76,Virginia,Pittsburgh,Atlantic Coast,Atlantic Coast
